id,framework_code,version_number,control_number,domain_code,domain_name_en,title_en,title_ar,requirement_en,requirement_ar,objective_en,control_type,control_category,maturity_level,priority,is_mandatory,testing_frequency,status
435,SAMA-AML,5.0,3.8,3,Reporting,Reporting - Control 8,Reporting - ضابط 8,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,1,critical,True,annually,active
436,SAMA-AML,5.0,4.8,4,Training,Training - Control 8,Training - ضابط 8,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,2,high,True,quarterly,active
437,SAMA-AML,5.0,5.8,5,Governance,Governance - Control 8,Governance - ضابط 8,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
438,SAMA-AML,5.0,6.8,6,Technology,Technology - Control 8,Technology - ضابط 8,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,4,low,True,continuous,active
439,SAMA-AML,5.0,1.9,1,CDD,CDD - Control 9,CDD - ضابط 9,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,1,critical,True,annually,active
440,SAMA-AML,5.0,2.9,2,Monitoring,Monitoring - Control 9,Monitoring - ضابط 9,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,2,high,True,quarterly,active
441,SAMA-AML,5.0,3.9,3,Reporting,Reporting - Control 9,Reporting - ضابط 9,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,3,medium,True,monthly,active
442,SAMA-AML,5.0,4.9,4,Training,Training - Control 9,Training - ضابط 9,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,4,low,True,continuous,active
443,SAMA-AML,5.0,5.9,5,Governance,Governance - Control 9,Governance - ضابط 9,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,1,critical,True,annually,active
444,SAMA-AML,5.0,6.9,6,Technology,Technology - Control 9,Technology - ضابط 9,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,2,high,True,quarterly,active
445,SAMA-AML,5.0,1.10,1,CDD,CDD - Control 10,CDD - ضابط 10,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,3,medium,True,monthly,active
446,SAMA-AML,5.0,2.10,2,Monitoring,Monitoring - Control 10,Monitoring - ضابط 10,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,4,low,True,continuous,active
447,SAMA-AML,5.0,3.10,3,Reporting,Reporting - Control 10,Reporting - ضابط 10,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,1,critical,True,annually,active
448,SAMA-AML,5.0,4.10,4,Training,Training - Control 10,Training - ضابط 10,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,2,high,True,quarterly,active
449,SAMA-AML,5.0,5.10,5,Governance,Governance - Control 10,Governance - ضابط 10,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
450,SAMA-AML,5.0,6.10,6,Technology,Technology - Control 10,Technology - ضابط 10,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,4,low,True,continuous,active
451,SAMA-AML,5.0,1.11,1,CDD,CDD - Control 11,CDD - ضابط 11,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,1,critical,True,annually,active
452,SAMA-AML,5.0,2.11,2,Monitoring,Monitoring - Control 11,Monitoring - ضابط 11,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,2,high,True,quarterly,active
453,SAMA-AML,5.0,3.11,3,Reporting,Reporting - Control 11,Reporting - ضابط 11,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,3,medium,True,monthly,active
454,SAMA-AML,5.0,4.11,4,Training,Training - Control 11,Training - ضابط 11,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,4,low,True,continuous,active
455,SAMA-AML,5.0,5.11,5,Governance,Governance - Control 11,Governance - ضابط 11,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,1,critical,True,annually,active
456,SAMA-AML,5.0,6.11,6,Technology,Technology - Control 11,Technology - ضابط 11,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,2,high,True,quarterly,active
457,SAMA-AML,5.0,1.12,1,CDD,CDD - Control 12,CDD - ضابط 12,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,3,medium,True,monthly,active
458,SAMA-AML,5.0,2.12,2,Monitoring,Monitoring - Control 12,Monitoring - ضابط 12,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,4,low,True,continuous,active
459,SAMA-AML,5.0,3.12,3,Reporting,Reporting - Control 12,Reporting - ضابط 12,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,1,critical,True,annually,active
460,SAMA-AML,5.0,4.12,4,Training,Training - Control 12,Training - ضابط 12,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,2,high,True,quarterly,active
461,SAMA-AML,5.0,5.12,5,Governance,Governance - Control 12,Governance - ضابط 12,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
462,SAMA-AML,5.0,6.12,6,Technology,Technology - Control 12,Technology - ضابط 12,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,4,low,True,continuous,active
463,SAMA-AML,5.0,1.13,1,CDD,CDD - Control 13,CDD - ضابط 13,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,1,critical,True,annually,active
464,SAMA-AML,5.0,2.13,2,Monitoring,Monitoring - Control 13,Monitoring - ضابط 13,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,2,high,True,quarterly,active
465,SAMA-AML,5.0,3.13,3,Reporting,Reporting - Control 13,Reporting - ضابط 13,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,3,medium,True,monthly,active
466,SAMA-AML,5.0,4.13,4,Training,Training - Control 13,Training - ضابط 13,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,4,low,True,continuous,active
467,SAMA-AML,5.0,5.13,5,Governance,Governance - Control 13,Governance - ضابط 13,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,1,critical,True,annually,active
468,SAMA-AML,5.0,6.13,6,Technology,Technology - Control 13,Technology - ضابط 13,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,2,high,True,quarterly,active
469,SAMA-AML,5.0,1.14,1,CDD,CDD - Control 14,CDD - ضابط 14,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,3,medium,True,monthly,active
470,SAMA-AML,5.0,2.14,2,Monitoring,Monitoring - Control 14,Monitoring - ضابط 14,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,4,low,True,continuous,active
471,SAMA-AML,5.0,3.14,3,Reporting,Reporting - Control 14,Reporting - ضابط 14,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,1,critical,True,annually,active
472,SAMA-AML,5.0,4.14,4,Training,Training - Control 14,Training - ضابط 14,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,2,high,True,quarterly,active
473,SAMA-AML,5.0,5.14,5,Governance,Governance - Control 14,Governance - ضابط 14,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
474,SAMA-AML,5.0,6.14,6,Technology,Technology - Control 14,Technology - ضابط 14,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,4,low,True,continuous,active
475,SAMA-AML,5.0,1.15,1,CDD,CDD - Control 15,CDD - ضابط 15,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,1,critical,True,annually,active
476,SAMA-AML,5.0,2.15,2,Monitoring,Monitoring - Control 15,Monitoring - ضابط 15,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,2,high,True,quarterly,active
477,SAMA-AML,5.0,3.15,3,Reporting,Reporting - Control 15,Reporting - ضابط 15,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,3,medium,True,monthly,active
478,SAMA-AML,5.0,4.15,4,Training,Training - Control 15,Training - ضابط 15,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,4,low,True,continuous,active
479,SAMA-AML,5.0,5.15,5,Governance,Governance - Control 15,Governance - ضابط 15,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,1,critical,True,annually,active
480,SAMA-AML,5.0,6.15,6,Technology,Technology - Control 15,Technology - ضابط 15,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,2,high,True,quarterly,active
481,SAMA-AML,5.0,1.16,1,CDD,CDD - Control 16,CDD - ضابط 16,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,3,medium,True,monthly,active
482,SAMA-AML,5.0,2.16,2,Monitoring,Monitoring - Control 16,Monitoring - ضابط 16,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,4,low,True,continuous,active
483,SAMA-AML,5.0,3.16,3,Reporting,Reporting - Control 16,Reporting - ضابط 16,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,1,critical,True,annually,active
484,SAMA-AML,5.0,4.16,4,Training,Training - Control 16,Training - ضابط 16,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,2,high,True,quarterly,active
485,SAMA-AML,5.0,5.16,5,Governance,Governance - Control 16,Governance - ضابط 16,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
486,SAMA-AML,5.0,6.16,6,Technology,Technology - Control 16,Technology - ضابط 16,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,4,low,True,continuous,active
487,SAMA-AML,5.0,1.17,1,CDD,CDD - Control 17,CDD - ضابط 17,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,1,critical,True,annually,active
488,SAMA-AML,5.0,2.17,2,Monitoring,Monitoring - Control 17,Monitoring - ضابط 17,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,2,high,True,quarterly,active
489,SAMA-AML,5.0,3.17,3,Reporting,Reporting - Control 17,Reporting - ضابط 17,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,3,medium,True,monthly,active
490,SAMA-AML,5.0,4.17,4,Training,Training - Control 17,Training - ضابط 17,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,4,low,True,continuous,active
491,SAMA-AML,5.0,5.17,5,Governance,Governance - Control 17,Governance - ضابط 17,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,1,critical,True,annually,active
492,SAMA-AML,5.0,6.17,6,Technology,Technology - Control 17,Technology - ضابط 17,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,2,high,True,quarterly,active
493,SAMA-AML,5.0,1.18,1,CDD,CDD - Control 18,CDD - ضابط 18,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,3,medium,True,monthly,active
494,SAMA-AML,5.0,2.18,2,Monitoring,Monitoring - Control 18,Monitoring - ضابط 18,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,4,low,True,continuous,active
495,SAMA-AML,5.0,3.18,3,Reporting,Reporting - Control 18,Reporting - ضابط 18,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,1,critical,True,annually,active
496,SAMA-AML,5.0,4.18,4,Training,Training - Control 18,Training - ضابط 18,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,2,high,True,quarterly,active
497,SAMA-AML,5.0,5.18,5,Governance,Governance - Control 18,Governance - ضابط 18,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
498,SAMA-AML,5.0,6.18,6,Technology,Technology - Control 18,Technology - ضابط 18,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,4,low,True,continuous,active
499,SAMA-AML,5.0,1.19,1,CDD,CDD - Control 19,CDD - ضابط 19,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,1,critical,True,annually,active
500,SAMA-AML,5.0,2.19,2,Monitoring,Monitoring - Control 19,Monitoring - ضابط 19,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,2,high,True,quarterly,active
501,SAMA-AML,5.0,3.19,3,Reporting,Reporting - Control 19,Reporting - ضابط 19,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,3,medium,True,monthly,active
502,SAMA-AML,5.0,4.19,4,Training,Training - Control 19,Training - ضابط 19,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,4,low,True,continuous,active
503,SAMA-AML,5.0,5.19,5,Governance,Governance - Control 19,Governance - ضابط 19,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,1,critical,True,annually,active
504,SAMA-AML,5.0,6.19,6,Technology,Technology - Control 19,Technology - ضابط 19,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,2,high,True,quarterly,active
505,SAMA-AML,5.0,1.20,1,CDD,CDD - Control 20,CDD - ضابط 20,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,3,medium,True,monthly,active
506,SAMA-AML,5.0,2.20,2,Monitoring,Monitoring - Control 20,Monitoring - ضابط 20,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,4,low,True,continuous,active
507,SAMA-AML,5.0,3.20,3,Reporting,Reporting - Control 20,Reporting - ضابط 20,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,1,critical,True,annually,active
508,SAMA-AML,5.0,4.20,4,Training,Training - Control 20,Training - ضابط 20,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,2,high,True,quarterly,active
509,SAMA-AML,5.0,5.20,5,Governance,Governance - Control 20,Governance - ضابط 20,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,3,medium,True,monthly,active
510,SAMA-AML,5.0,6.20,6,Technology,Technology - Control 20,Technology - ضابط 20,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,4,low,True,continuous,active
511,SAMA-AML,5.0,1.21,1,CDD,CDD - Control 21,CDD - ضابط 21,The organization shall implement cdd controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط CDD لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective cdd practices,preventive,administrative,1,critical,True,annually,active
512,SAMA-AML,5.0,2.21,2,Monitoring,Monitoring - Control 21,Monitoring - ضابط 21,The organization shall implement monitoring controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Monitoring لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective monitoring practices,detective,technical,2,high,True,quarterly,active
513,SAMA-AML,5.0,3.21,3,Reporting,Reporting - Control 21,Reporting - ضابط 21,The organization shall implement reporting controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Reporting لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective reporting practices,corrective,operational,3,medium,True,monthly,active
514,SAMA-AML,5.0,4.21,4,Training,Training - Control 21,Training - ضابط 21,The organization shall implement training controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Training لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective training practices,preventive,administrative,4,low,True,continuous,active
515,SAMA-AML,5.0,5.21,5,Governance,Governance - Control 21,Governance - ضابط 21,The organization shall implement governance controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective governance practices,detective,technical,1,critical,True,annually,active
516,SAMA-AML,5.0,6.21,6,Technology,Technology - Control 21,Technology - ضابط 21,The organization shall implement technology controls to ensure compliance with Anti-Money Laundering Rules requirements.,يجب على المنظمة تطبيق ضوابط Technology لضمان الامتثال لمتطلبات قواعد مكافحة غسل الأموال,To establish effective technology practices,corrective,operational,2,high,True,quarterly,active
