mapping_id,control_id,framework_code,control_number,evidence_type_code,evidence_name_en,evidence_name_ar,evidence_category,is_mandatory,is_primary,display_order,min_retention_months,review_frequency_months,approval_role,format_hints,requirement_description_en
144,40,NCA-ECC,2-5-3,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of DNS Security
145,40,NCA-ECC,2-5-3,SCREENSHOT,System Screenshot,لقطة شاشة,artifact,True,False,2,24,3,None,"PNG, JPG, PDF",Provide System Screenshot demonstrating implementation of DNS Security
146,40,NCA-ECC,2-5-3,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of DNS Security
147,40,NCA-ECC,2-5-3,LOG,System Log,سجل النظام,record,False,False,4,12,1,None,"LOG, JSON, CSV",Provide System Log demonstrating implementation of DNS Security
148,41,NCA-ECC,2-5-4,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of APT Protection
149,41,NCA-ECC,2-5-4,LOG,System Log,سجل النظام,record,True,False,2,12,1,None,"LOG, JSON, CSV",Provide System Log demonstrating implementation of APT Protection
150,41,NCA-ECC,2-5-4,REPORT,Report,تقرير,record,False,False,3,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of APT Protection
151,41,NCA-ECC,2-5-4,SCAN_REPORT,Vulnerability Scan Report,تقرير فحص الثغرات,record,False,False,4,24,1,None,"PDF, JSON",Provide Vulnerability Scan Report demonstrating implementation of APT Protection
152,42,NCA-ECC,2-6-1,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Mobile Device Management
153,42,NCA-ECC,2-6-1,INVENTORY,Asset Inventory,جرد الأصول,record,True,False,2,36,1,None,"XLSX, CSV",Provide Asset Inventory demonstrating implementation of Mobile Device Management
154,42,NCA-ECC,2-6-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Mobile Device Management
155,43,NCA-ECC,2-6-2,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of BYOD Policy
156,43,NCA-ECC,2-6-2,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,True,False,2,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of BYOD Policy
157,43,NCA-ECC,2-6-2,TRAINING_RECORD,Training Record,سجل التدريب,record,False,False,3,60,12,HR,"PDF, XLSX",Provide Training Record demonstrating implementation of BYOD Policy
158,43,NCA-ECC,2-6-2,ATTESTATION,Management Attestation,إقرار الإدارة,document,False,False,4,36,12,Executive,PDF,Provide Management Attestation demonstrating implementation of BYOD Policy
159,44,NCA-ECC,2-7-1,CLASSIFICATION_SCHEME,Classification Scheme,مخطط التصنيف,document,True,True,1,60,24,CISO,PDF,Provide Classification Scheme demonstrating implementation of Data Classification (NDMO)
160,44,NCA-ECC,2-7-1,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Data Classification (NDMO)
161,44,NCA-ECC,2-7-1,INVENTORY,Asset Inventory,جرد الأصول,record,False,False,3,36,1,None,"XLSX, CSV",Provide Asset Inventory demonstrating implementation of Data Classification (NDMO)
162,44,NCA-ECC,2-7-1,TRAINING_RECORD,Training Record,سجل التدريب,record,False,False,4,60,12,HR,"PDF, XLSX",Provide Training Record demonstrating implementation of Data Classification (NDMO)
163,45,NCA-ECC,2-7-2,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of DLP Implementation
164,45,NCA-ECC,2-7-2,LOG,System Log,سجل النظام,record,True,False,2,12,1,None,"LOG, JSON, CSV",Provide System Log demonstrating implementation of DLP Implementation
165,45,NCA-ECC,2-7-2,REPORT,Report,تقرير,record,False,False,3,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of DLP Implementation
166,45,NCA-ECC,2-7-2,INCIDENT_REPORT,Incident Report,تقرير الحادث,record,False,False,4,60,12,CISO,PDF,Provide Incident Report demonstrating implementation of DLP Implementation
167,46,NCA-ECC,2-7-3,DESTRUCTION_CERT,Certificate of Destruction,شهادة الإتلاف,record,True,True,1,84,0,Records Manager,PDF,Provide Certificate of Destruction demonstrating implementation of Data Disposal
168,46,NCA-ECC,2-7-3,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Data Disposal
169,46,NCA-ECC,2-7-3,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,False,False,3,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Data Disposal
170,46,NCA-ECC,2-7-3,AUDIT_LOG,Audit Trail Log,سجل التدقيق,record,False,False,4,24,3,None,"LOG, JSON",Provide Audit Trail Log demonstrating implementation of Data Disposal
171,47,NCA-ECC,2-8-1,STANDARD,Technical Standard,المعيار الفني,document,True,True,1,36,12,CISO,"PDF, DOCX",Provide Technical Standard demonstrating implementation of Cryptography Standards
172,47,NCA-ECC,2-8-1,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,False,2,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Cryptography Standards
173,47,NCA-ECC,2-8-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Cryptography Standards
174,47,NCA-ECC,2-8-1,TEST_RESULT,Test Results,نتائج الاختبار,record,False,False,4,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Cryptography Standards
175,48,NCA-ECC,2-8-2,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Key Management
176,48,NCA-ECC,2-8-2,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,True,False,2,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Key Management
177,48,NCA-ECC,2-8-2,AUDIT_LOG,Audit Trail Log,سجل التدقيق,record,False,False,3,24,3,None,"LOG, JSON",Provide Audit Trail Log demonstrating implementation of Key Management
178,48,NCA-ECC,2-8-2,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,False,False,4,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Key Management
179,49,NCA-ECC,2-9-1,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Backup Strategy (3-2-1)
180,49,NCA-ECC,2-9-1,BACKUP_PLAN,Backup Plan,خطة النسخ الاحتياطي,document,True,False,2,36,12,IT Director,PDF,Provide Backup Plan demonstrating implementation of Backup Strategy (3-2-1)
181,49,NCA-ECC,2-9-1,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,False,False,3,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Backup Strategy (3-2-1)
182,49,NCA-ECC,2-9-1,REPORT,Report,تقرير,record,False,False,4,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Backup Strategy (3-2-1)
183,50,NCA-ECC,2-9-2,TEST_RESULT,Test Results,نتائج الاختبار,record,True,True,1,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Backup Testing
184,50,NCA-ECC,2-9-2,REPORT,Report,تقرير,record,True,False,2,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Backup Testing
185,50,NCA-ECC,2-9-2,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,False,False,3,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Backup Testing
186,51,NCA-ECC,2-10-1,SCAN_REPORT,Vulnerability Scan Report,تقرير فحص الثغرات,record,True,True,1,24,1,None,"PDF, JSON",Provide Vulnerability Scan Report demonstrating implementation of Vulnerability Scanning
187,51,NCA-ECC,2-10-1,REPORT,Report,تقرير,record,True,False,2,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Vulnerability Scanning
188,51,NCA-ECC,2-10-1,REMEDIATION_PLAN,Remediation Plan,خطة المعالجة,record,False,False,3,36,3,CISO,"PDF, XLSX",Provide Remediation Plan demonstrating implementation of Vulnerability Scanning
189,52,NCA-ECC,2-10-2,SCAN_REPORT,Vulnerability Scan Report,تقرير فحص الثغرات,record,True,True,1,24,1,None,"PDF, JSON",Provide Vulnerability Scan Report demonstrating implementation of Vulnerability Remediation SLA
190,52,NCA-ECC,2-10-2,REMEDIATION_REPORT,Remediation Report,تقرير المعالجة,record,True,False,2,36,3,CISO,"PDF, XLSX",Provide Remediation Report demonstrating implementation of Vulnerability Remediation SLA
191,52,NCA-ECC,2-10-2,CHANGE_RECORD,Change Management Record,سجل التغيير,record,False,False,3,24,1,CAB,"PDF, JSON",Provide Change Management Record demonstrating implementation of Vulnerability Remediation SLA
192,53,NCA-ECC,2-11-1,PENTEST_REPORT,Penetration Test Report,تقرير اختبار الاختراق,record,True,True,1,36,12,CISO,PDF,Provide Penetration Test Report demonstrating implementation of Annual Pen Test
193,53,NCA-ECC,2-11-1,CONTRACT,Contract/Agreement,عقد,document,True,False,2,84,12,Legal,PDF,Provide Contract/Agreement demonstrating implementation of Annual Pen Test
194,53,NCA-ECC,2-11-1,REMEDIATION_PLAN,Remediation Plan,خطة المعالجة,record,False,False,3,36,3,CISO,"PDF, XLSX",Provide Remediation Plan demonstrating implementation of Annual Pen Test
195,54,NCA-ECC,2-12-1,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Centralized Logging (SIEM)
196,54,NCA-ECC,2-12-1,LOG,System Log,سجل النظام,record,True,False,2,12,1,None,"LOG, JSON, CSV",Provide System Log demonstrating implementation of Centralized Logging (SIEM)
197,54,NCA-ECC,2-12-1,REPORT,Report,تقرير,record,False,False,3,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Centralized Logging (SIEM)
198,54,NCA-ECC,2-12-1,DASHBOARD,Dashboard,لوحة المتابعة,artifact,False,False,4,24,1,None,"PNG, PDF",Provide Dashboard demonstrating implementation of Centralized Logging (SIEM)
199,55,NCA-ECC,2-12-2,LOG,System Log,سجل النظام,record,True,True,1,12,1,None,"LOG, JSON, CSV",Provide System Log demonstrating implementation of 24/7 SOC Monitoring
200,55,NCA-ECC,2-12-2,REPORT,Report,تقرير,record,True,False,2,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of 24/7 SOC Monitoring
201,55,NCA-ECC,2-12-2,INCIDENT_REPORT,Incident Report,تقرير الحادث,record,False,False,3,60,12,CISO,PDF,Provide Incident Report demonstrating implementation of 24/7 SOC Monitoring
202,55,NCA-ECC,2-12-2,SHIFT_RECORDS,SOC Shift Records,سجلات نوبات SOC,record,False,False,4,12,1,SOC Manager,"PDF, XLSX",Provide SOC Shift Records demonstrating implementation of 24/7 SOC Monitoring
203,56,NCA-ECC,2-13-1,INCIDENT_RESPONSE_PLAN,Incident Response Plan,خطة الاستجابة للحوادث,document,True,True,1,36,12,CISO,PDF,Provide Incident Response Plan demonstrating implementation of Incident Response Plan
204,56,NCA-ECC,2-13-1,TEST_RESULT,Test Results,نتائج الاختبار,record,True,False,2,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Incident Response Plan
205,56,NCA-ECC,2-13-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Incident Response Plan
206,56,NCA-ECC,2-13-1,TRAINING_RECORD,Training Record,سجل التدريب,record,False,False,4,60,12,HR,"PDF, XLSX",Provide Training Record demonstrating implementation of Incident Response Plan
207,57,NCA-ECC,2-13-2,INCIDENT_REPORT,Incident Report,تقرير الحادث,record,True,True,1,60,12,CISO,PDF,Provide Incident Report demonstrating implementation of Incident Reporting to NCA
208,57,NCA-ECC,2-13-2,NCA_NOTIFICATION,NCA Notification,إشعار NCA,record,True,False,2,84,0,CISO,"PDF, EMAIL",Provide NCA Notification demonstrating implementation of Incident Reporting to NCA
209,57,NCA-ECC,2-13-2,TIMELINE,Incident Timeline,الجدول الزمني للحادث,record,False,False,3,60,0,CISO,"PDF, XLSX",Provide Incident Timeline demonstrating implementation of Incident Reporting to NCA
210,57,NCA-ECC,2-13-2,AUDIT_LOG,Audit Trail Log,سجل التدقيق,record,False,False,4,24,3,None,"LOG, JSON",Provide Audit Trail Log demonstrating implementation of Incident Reporting to NCA
211,58,NCA-ECC,2-14-1,ACCESS_LOG,Access Log,سجل الوصول,record,True,True,1,12,1,None,"LOG, CSV",Provide Access Log demonstrating implementation of Physical Access Control
212,58,NCA-ECC,2-14-1,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Physical Access Control
213,58,NCA-ECC,2-14-1,BADGE_RECORDS,Badge Access Records,سجلات البطاقات,record,False,False,3,24,3,None,"CSV, PDF",Provide Badge Access Records demonstrating implementation of Physical Access Control
214,58,NCA-ECC,2-14-1,CCTV_RECORDS,CCTV Records,سجلات الكاميرات,record,False,False,4,6,1,None,Video,Provide CCTV Records demonstrating implementation of Physical Access Control
215,59,NCA-ECC,2-15-1,CONFIGURATION,Configuration File/Export,ملف التكوين,artifact,True,True,1,24,6,None,"XML, JSON, YAML",Provide Configuration File/Export demonstrating implementation of Web Application Firewall
216,59,NCA-ECC,2-15-1,LOG,System Log,سجل النظام,record,True,False,2,12,1,None,"LOG, JSON, CSV",Provide System Log demonstrating implementation of Web Application Firewall
217,59,NCA-ECC,2-15-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Web Application Firewall
218,59,NCA-ECC,2-15-1,TEST_RESULT,Test Results,نتائج الاختبار,record,False,False,4,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Web Application Firewall
219,60,NCA-ECC,2-15-2,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Secure SDLC
220,60,NCA-ECC,2-15-2,CODE_REVIEW_REPORT,Code Review Report,تقرير مراجعة الكود,record,True,False,2,24,1,Tech Lead,"PDF, JSON",Provide Code Review Report demonstrating implementation of Secure SDLC
221,60,NCA-ECC,2-15-2,SAST_REPORT,SAST Report,تقرير SAST,record,False,False,3,24,1,None,"PDF, JSON",Provide SAST Report demonstrating implementation of Secure SDLC
222,60,NCA-ECC,2-15-2,DAST_REPORT,DAST Report,تقرير DAST,record,False,False,4,24,1,None,"PDF, JSON",Provide DAST Report demonstrating implementation of Secure SDLC
223,61,NCA-ECC,3-1-1,BCP_DRP,BCP/DRP Plan,خطة استمرارية الأعمال,document,True,True,1,36,12,Executive,"PDF, DOCX",Provide BCP/DRP Plan demonstrating implementation of BCM Cybersecurity
224,61,NCA-ECC,3-1-1,RISK_ASSESSMENT,Risk Assessment,تقييم المخاطر,record,True,False,2,36,12,Risk Officer,"PDF, XLSX",Provide Risk Assessment demonstrating implementation of BCM Cybersecurity
225,61,NCA-ECC,3-1-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of BCM Cybersecurity
226,61,NCA-ECC,3-1-1,TEST_RESULT,Test Results,نتائج الاختبار,record,False,False,4,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of BCM Cybersecurity
227,62,NCA-ECC,3-1-2,BCP_DRP,BCP/DRP Plan,خطة استمرارية الأعمال,document,True,True,1,36,12,Executive,"PDF, DOCX",Provide BCP/DRP Plan demonstrating implementation of DR Plan Annual Testing
228,62,NCA-ECC,3-1-2,BCP_TEST,BCP Test Result,نتائج اختبار BCP,record,True,False,2,36,12,BCM Manager,PDF,Provide BCP Test Result demonstrating implementation of DR Plan Annual Testing
229,62,NCA-ECC,3-1-2,REPORT,Report,تقرير,record,False,False,3,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of DR Plan Annual Testing
230,62,NCA-ECC,3-1-2,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,False,False,4,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of DR Plan Annual Testing
231,63,NCA-ECC,3-1-3,TEST_RESULT,Test Results,نتائج الاختبار,record,True,True,1,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Cyber Resilience Testing
232,63,NCA-ECC,3-1-3,REPORT,Report,تقرير,record,True,False,2,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Cyber Resilience Testing
233,63,NCA-ECC,3-1-3,INCIDENT_REPORT,Incident Report,تقرير الحادث,record,False,False,3,60,12,CISO,PDF,Provide Incident Report demonstrating implementation of Cyber Resilience Testing
234,64,NCA-ECC,3-1-4,ARCHITECTURE_DIAGRAM,Architecture Diagram,المخطط المعماري,document,True,True,1,36,12,Architect,"PNG, PDF, VISIO",Provide Architecture Diagram demonstrating implementation of DR Site for Critical Systems
235,64,NCA-ECC,3-1-4,TEST_RESULT,Test Results,نتائج الاختبار,record,True,False,2,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of DR Site for Critical Systems
236,64,NCA-ECC,3-1-4,CONTRACT,Contract/Agreement,عقد,document,False,False,3,84,12,Legal,PDF,Provide Contract/Agreement demonstrating implementation of DR Site for Critical Systems
237,64,NCA-ECC,3-1-4,REPORT,Report,تقرير,record,False,False,4,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of DR Site for Critical Systems
238,65,NCA-ECC,4-1-1,RISK_ASSESSMENT,Risk Assessment,تقييم المخاطر,record,True,True,1,36,12,Risk Officer,"PDF, XLSX",Provide Risk Assessment demonstrating implementation of Third-Party Risk Assessment
239,65,NCA-ECC,4-1-1,DUE_DILIGENCE,Due Diligence Report,تقرير العناية الواجبة,record,True,False,2,60,12,Procurement,PDF,Provide Due Diligence Report demonstrating implementation of Third-Party Risk Assessment
240,65,NCA-ECC,4-1-1,QUESTIONNAIRE,Vendor Questionnaire,استبيان المورد,record,False,False,3,36,12,Procurement,"PDF, XLSX",Provide Vendor Questionnaire demonstrating implementation of Third-Party Risk Assessment
241,65,NCA-ECC,4-1-1,REPORT,Report,تقرير,record,False,False,4,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Third-Party Risk Assessment
242,66,NCA-ECC,4-1-2,CONTRACT,Contract/Agreement,عقد,document,True,True,1,84,12,Legal,PDF,Provide Contract/Agreement demonstrating implementation of Third-Party Contracts
243,66,NCA-ECC,4-1-2,SLA,Service Level Agreement,اتفاقية مستوى الخدمة,document,True,False,2,84,12,Legal,PDF,Provide Service Level Agreement demonstrating implementation of Third-Party Contracts
244,66,NCA-ECC,4-1-2,REVIEW_REPORT,Review Report,تقرير المراجعة,record,False,False,3,60,12,Reviewer,PDF,Provide Review Report demonstrating implementation of Third-Party Contracts
245,66,NCA-ECC,4-1-2,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,4,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Third-Party Contracts
246,67,NCA-ECC,4-1-3,AUDIT_REPORT,Audit Report,تقرير التدقيق,record,True,True,1,84,12,Auditor,PDF,Provide Audit Report demonstrating implementation of Third-Party Monitoring
247,67,NCA-ECC,4-1-3,REPORT,Report,تقرير,record,True,False,2,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Third-Party Monitoring
248,67,NCA-ECC,4-1-3,SLA_COMPLIANCE,SLA Compliance Report,تقرير امتثال SLA,record,False,False,3,24,1,None,"PDF, XLSX",Provide SLA Compliance Report demonstrating implementation of Third-Party Monitoring
249,67,NCA-ECC,4-1-3,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,False,False,4,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Third-Party Monitoring
250,68,NCA-ECC,4-1-4,INCIDENT_REPORT,Incident Report,تقرير الحادث,record,True,True,1,60,12,CISO,PDF,Provide Incident Report demonstrating implementation of Third-Party Incidents
251,68,NCA-ECC,4-1-4,NCA_NOTIFICATION,NCA Notification,إشعار NCA,record,True,False,2,84,0,CISO,"PDF, EMAIL",Provide NCA Notification demonstrating implementation of Third-Party Incidents
252,68,NCA-ECC,4-1-4,REMEDIATION_PLAN,Remediation Plan,خطة المعالجة,record,False,False,3,36,3,CISO,"PDF, XLSX",Provide Remediation Plan demonstrating implementation of Third-Party Incidents
253,69,NCA-ECC,4-2-1,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Cloud Cybersecurity per CCC
254,69,NCA-ECC,4-2-1,STANDARD,Technical Standard,المعيار الفني,document,True,False,2,36,12,CISO,"PDF, DOCX",Provide Technical Standard demonstrating implementation of Cloud Cybersecurity per CCC
255,69,NCA-ECC,4-2-1,RISK_ASSESSMENT,Risk Assessment,تقييم المخاطر,record,False,False,3,36,12,Risk Officer,"PDF, XLSX",Provide Risk Assessment demonstrating implementation of Cloud Cybersecurity per CCC
256,69,NCA-ECC,4-2-1,ARCHITECTURE_DIAGRAM,Architecture Diagram,المخطط المعماري,document,False,False,4,36,12,Architect,"PNG, PDF, VISIO",Provide Architecture Diagram demonstrating implementation of Cloud Cybersecurity per CCC
257,70,NCA-ECC,4-2-2,CLOUD_CONTRACT,Cloud Service Contract,عقد الخدمة السحابية,document,True,True,1,84,12,Legal,PDF,Provide Cloud Service Contract demonstrating implementation of Data Localization (NDMO)
258,70,NCA-ECC,4-2-2,DATA_RESIDENCY_CERT,Data Residency Certification,شهادة موقع البيانات,document,True,False,2,36,12,Cloud Provider,PDF,Provide Data Residency Certification demonstrating implementation of Data Localization (NDMO)
259,70,NCA-ECC,4-2-2,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Data Localization (NDMO)
260,70,NCA-ECC,4-2-2,ATTESTATION,Management Attestation,إقرار الإدارة,document,False,False,4,36,12,Executive,PDF,Provide Management Attestation demonstrating implementation of Data Localization (NDMO)
261,71,NCA-ECC,4-2-3,ASSESSMENT_REPORT,Assessment Report,تقرير التقييم,record,True,True,1,36,12,Assessor,PDF,Provide Assessment Report demonstrating implementation of Cloud Provider Assessment
262,71,NCA-ECC,4-2-3,DUE_DILIGENCE,Due Diligence Report,تقرير العناية الواجبة,record,True,False,2,60,12,Procurement,PDF,Provide Due Diligence Report demonstrating implementation of Cloud Provider Assessment
263,71,NCA-ECC,4-2-3,CERTIFICATE,Certificate,شهادة,document,False,False,3,36,12,None,PDF,Provide Certificate demonstrating implementation of Cloud Provider Assessment
264,71,NCA-ECC,4-2-3,AUDIT_REPORT,Audit Report,تقرير التدقيق,record,False,False,4,84,12,Auditor,PDF,Provide Audit Report demonstrating implementation of Cloud Provider Assessment
265,72,NCA-ECC,4-2-4,EXIT_PLAN,Cloud Exit Plan,خطة الخروج,document,True,True,1,60,12,CIO,PDF,Provide Cloud Exit Plan demonstrating implementation of Cloud Exit Strategy
266,72,NCA-ECC,4-2-4,TEST_RESULT,Test Results,نتائج الاختبار,record,True,False,2,36,12,Test Manager,"PDF, XLSX",Provide Test Results demonstrating implementation of Cloud Exit Strategy
267,72,NCA-ECC,4-2-4,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Cloud Exit Strategy
268,72,NCA-ECC,4-2-4,CONTRACT,Contract/Agreement,عقد,document,False,False,4,84,12,Legal,PDF,Provide Contract/Agreement demonstrating implementation of Cloud Exit Strategy
